Gen,total_rating,scale_correctness_rating,zipfs_law_distance_pitches,zipfs_law_distance_intervals,neighbour_pitch_rating,melody_direction_rating,direction_stability_rating,unique_pitches_rating,bindings_rating,measures_rating,types_distance_rating,semitones_distance_rating,pitches_distance_rating,duration_distance_rating,offsets_distance_rating,absolute_rhythm_rating,absolute_types_rating,types_distr_rating,interval_distr_distance_rating,element_count_rating
1930,16.45452515,0.041237113,0.215989737,0.150460988,0,0.036189863,0.015356529,0.016222571,0.416666667,0,1.120128094,2.256672211,1.476694911,2.955606475,1.012070799,2.9,0.8,0.509875333,1.704907584,0.826446281
1931,16.45201626,0.041237113,0.215989737,0.150460988,0,0.036189863,0.015356529,0.016222571,0.416666667,0,1.120128094,2.256672211,1.476694911,2.953097578,1.012070799,2.9,0.8,0.509875333,1.704907584,0.826446281
1932,18.61506107,0.041666667,0.393368116,0.061280678,0,0.04156267,0.009983722,0.015810277,1.666666667,0.78125,1.109779054,2.224953782,1.539797275,2.868001444,1.097050702,2.9,0.8,0.543509966,1.652611452,0.867768595
1933,18.15917717,0.041666667,0.184110133,0.174037647,0,0.04156267,0.009983722,0.015810277,1.354166667,0.78125,1.123484722,2.132039367,1.506293826,2.908204855,1.088525567,2.9,0.8,0.561157025,1.669115427,0.867768595
1934,17.12252298,0.041666667,0.184110133,0.174037647,0,0.04156267,0.009983722,0.015810277,1.354166667,0,1.10779762,2.12999765,1.46766954,2.86026073,1.073011834,2.9,0.7,0.525563804,1.669115427,0.867768595
1935,16.68930218,0.041666667,0.184110133,0.036090257,0,0.04156267,0.009983722,0.015810277,0.729166667,0,1.208672949,2.198355386,1.47774842,2.899219682,1.067426602,2.9,0.8,0.542604731,1.669115427,0.867768595
1936,16.30679202,0.041666667,0.270486918,0.033952378,0,0.04156267,0.009983722,0.01539075,0.416666667,0,1.129168958,2.213073233,1.463636798,2.971060975,1.017770228,2.9,0.8,0.406442043,1.708161417,0.867768595
1937,16.01646315,0.041666667,0.184110133,0.036090257,0,0.04156267,0.009983722,0.015810277,0.3125,0,1.126229139,2.198355386,1.436040469,2.93336002,1.017770228,2.8,0.8,0.526100162,1.669115427,0.867768595
1938,16.60427494,0.041666667,0.064973235,0.211176188,0,0.04156267,0.009983722,0.015810277,0.729166667,0,1.126229139,2.201588003,1.444481162,2.936882794,1.017770228,2.9,0.8,0.526100162,1.669115427,0.867768595
1939,16.48311218,0.0625,0.063675638,0.005316546,0,0.04156267,0.009983722,0.015810277,0.729166667,0,1.126229139,2.236159391,1.463376112,2.948577611,1.017770228,2.9,0.8,0.526100162,1.669115427,0.867768595
1940,16.01646315,0.041666667,0.184110133,0.036090257,0,0.04156267,0.009983722,0.015810277,0.3125,0,1.126229139,2.198355386,1.436040469,2.93336002,1.017770228,2.8,0.8,0.526100162,1.669115427,0.867768595
1941,16.53638855,0.0625,0.386087593,0.235595705,0,0.031036354,0.020510038,0.011462451,0.416666667,0,1.158218389,2.276196959,1.502537407,2.939989119,1.017770228,2.8,0.8,0.526100162,1.483948878,0.867768595
1942,16.03182164,0.041666667,0.184110133,0.036090257,0,0.04156267,0.009983722,0.015810277,0.3125,0,1.126229139,2.198355386,1.436040469,2.948718511,1.017770228,2.8,0.8,0.526100162,1.669115427,0.867768595
1943,16.03182164,0.041666667,0.184110133,0.036090257,0,0.04156267,0.009983722,0.015810277,0.3125,0,1.126229139,2.198355386,1.436040469,2.948718511,1.017770228,2.8,0.8,0.526100162,1.669115427,0.867768595
1944,16.0126891,0.041666667,0.184110133,0.036090257,0,0.04156267,0.009983722,0.015810277,0.3125,0,1.126229139,2.198355386,1.436040469,2.929585966,1.017770228,2.8,0.8,0.526100162,1.669115427,0.867768595
1945,16.0126891,0.041666667,0.184110133,0.036090257,0,0.04156267,0.009983722,0.015810277,0.3125,0,1.126229139,2.198355386,1.436040469,2.929585966,1.017770228,2.8,0.8,0.526100162,1.669115427,0.867768595
1946,15.83248836,0.041666667,0.045498883,0.036090257,0,0.04156267,0.009983722,0.01539075,0.3125,0,1.11204792,2.198355386,1.454403196,3.00389262,1.017770228,2.8,0.8,0.406442043,1.669115427,0.867768595
1947,16.03182164,0.041666667,0.184110133,0.036090257,0,0.04156267,0.009983722,0.015810277,0.3125,0,1.126229139,2.198355386,1.436040469,2.948718511,1.017770228,2.8,0.8,0.526100162,1.669115427,0.867768595
1948,15.81712987,0.041666667,0.045498883,0.036090257,0,0.04156267,0.009983722,0.01539075,0.3125,0,1.11204792,2.198355386,1.454403196,2.98853413,1.017770228,2.8,0.8,0.406442043,1.669115427,0.867768595
1949,15.82298807,0.041666667,0.045498883,0.036090257,0,0.04156267,0.009983722,0.01539075,0.3125,0,1.11204792,2.198355386,1.454403196,2.994392328,1.017770228,2.8,0.8,0.406442043,1.669115427,0.867768595
1950,15.82298807,0.041666667,0.045498883,0.036090257,0,0.04156267,0.009983722,0.01539075,0.3125,0,1.11204792,2.198355386,1.454403196,2.994392328,1.017770228,2.8,0.8,0.406442043,1.669115427,0.867768595
1951,16.18485686,0.041666667,0.066187648,0.285876895,0,0.04156267,0.009983722,0.01539075,0.416666667,0,1.11204792,2.206724509,1.465683542,3.001015572,1.017770228,2.8,0.8,0.406442043,1.630069437,0.867768595
1952,15.84692899,0.041666667,0.045498883,0.036090257,0,0.04156267,0.009983722,0.01539075,0.3125,0,1.11204792,2.198355386,1.454403196,3.018333244,1.017770228,2.8,0.8,0.406442043,1.669115427,0.867768595
1953,18.60277536,0.021052632,0.728748167,1.007621597,0,0.036411494,0.015134898,0.014963797,1.25,0,1.079774136,2.169308007,1.457410538,3.026970753,1.013427501,2.9,0.8,0.421915076,1.750945852,0.909090909
1954,16.18321336,0.041666667,0.066187648,0.285876895,0,0.04156267,0.009983722,0.01539075,0.416666667,0,1.11204792,2.206724509,1.465683542,2.999372068,1.017770228,2.8,0.8,0.406442043,1.630069437,0.867768595
1955,16.18411947,0.041666667,0.066187648,0.285876895,0,0.04156267,0.009983722,0.01539075,0.416666667,0,1.11204792,2.206724509,1.465683542,3.000278175,1.017770228,2.8,0.8,0.406442043,1.630069437,0.867768595
1956,15.82932784,0.041666667,0.045498883,0.036090257,0,0.04156267,0.009983722,0.01539075,0.3125,0,1.11204792,2.198355386,1.454403196,3.000732093,1.017770228,2.8,0.8,0.406442043,1.669115427,0.867768595
1957,16.19694141,0.041666667,0.066187648,0.285876895,0,0.04156267,0.009983722,0.01539075,0.416666667,0,1.11204792,2.206724509,1.465683542,3.013100121,1.017770228,2.8,0.8,0.406442043,1.630069437,0.867768595
1958,16.20836848,0.041666667,0.066187648,0.285876895,0,0.04156267,0.009983722,0.01539075,0.416666667,0,1.11204792,2.206724509,1.465683542,3.024527184,1.017770228,2.8,0.8,0.406442043,1.630069437,0.867768595
1959,15.86031371,0.041666667,0.045498883,0.036090257,0,0.04156267,0.009983722,0.01539075,0.3125,0,1.11204792,2.198355386,1.454403196,3.031717971,1.017770228,2.8,0.8,0.406442043,1.669115427,0.867768595
1960,15.85587328,0.041666667,0.045498883,0.036090257,0,0.04156267,0.009983722,0.01539075,0.3125,0,1.11204792,2.198355386,1.454403196,3.027277541,1.017770228,2.8,0.8,0.406442043,1.669115427,0.867768595
1961,15.87466857,0.041666667,0.045498883,0.036090257,0,0.04156267,0.009983722,0.01539075,0.3125,0,1.11204792,2.198355386,1.454403196,3.046072828,1.017770228,2.8,0.8,0.406442043,1.669115427,0.867768595
1962,15.82963593,0.041666667,0.045498883,0.036090257,0,0.04156267,0.009983722,0.01539075,0.3125,0,1.11204792,2.198355386,1.454403196,3.001040186,1.017770228,2.8,0.8,0.406442043,1.669115427,0.867768595
1963,17.95899108,0.041666667,0.045498883,0.009589722,0,0.04156267,0.009983722,0.01539075,1.5625,0.78125,1.003458193,2.257560655,1.484944009,3.000886009,1.023325421,2.9,0.8,0.444490358,1.669115427,0.867768595
