Gen,rating/total_rating,rating/scale_correctness_rating,rating/zipfs_law_distance_pitches,rating/zipfs_law_distance_intervals,rating/neighbour_pitch_rating,rating/melody_direction_rating,rating/direction_stability_rating,rating/unique_pitches_rating,rating/bindings_rating,rating/measures_rating,rating/types_distance_rating,rating/semitones_distance_rating,rating/pitches_distance_rating,rating/duration_distance_rating,rating/offsets_distance_rating,rating/absolute_rhythm_rating,rating/absolute_types_rating,rating/types_distr_rating,rating/interval_distr_distance_rating,rating/element_count_rating
11,30.278370392182435,0.40502586844050253,0.9258317363448476,0.6963254630351462,0.273972602739726,0.02149631190727086,0.12918861959957845,0.020292207792207778,0.6875,3.28125,1.080982276375039,2.3255259842996785,1.3838801183711142,1.4471708147224762,2.154869261703848,6.2,2,1.547641073080481,4.175678923335739,1.5217391304347827
12,28.698035998050074,0.4090909090909091,0.7828590589486528,0.11394210527201853,0.2,0.046153846153846156,0.1538461538461538,0.02525252525252525,0.3124999999999998,3.28125,0.9184692525688805,1.8832436439425275,1.273135697567312,1.3903914104597344,2.535946144502562,6,2.8000000000000003,0.21980676328502435,4.830409356725145,1.5217391304347827
13,27.30078344010376,0.3852813852813853,0.0909208240952053,0.008558784957184984,0.1875,0.05865384615384617,0.16634615384615387,0.02892561983471073,0.3124999999999999,3.28125,1.002054530858329,1.914075081830098,1.2392144709290027,1.4398061184077517,2.364297054950779,6,2.8000000000000003,0.4105824446267434,4.306469298245614,1.3043478260869565
14,27.42428895376886,0.5025868440502588,0.40642879142708144,0.4338332339734846,0.06666666666666667,0.019487179487179485,0.12717948717948718,0.018972332015810264,0.2500000000000003,2.34375,1.1737002216804417,2.2647158758605928,1.5386258489299212,1.2733625007804827,2.1342451636828748,6.2,2,1.8260869565217395,3.467836257309941,1.3768115942028984
15,27.486038549538435,0.4805194805194805,0.3567760488807359,0.9183740162116322,0.13333333333333333,0.007179487179487132,0.10051282051282046,0.018972332015810264,0.3125000000000001,3.28125,0.9643776574199261,2.069567855813419,1.1759627697834916,1.3720795866542164,2.2023117780460133,6.2,3,0.36956521739130427,2.7836257309941517,1.7391304347826086
16,27.283481355887545,0.5396129974443227,0.030041538062854922,0.506975343240153,0.13513513513513514,0.013305613305613306,0.09438669438669439,0.021956856702619404,0.18749999999999992,3.28125,1.0623470683854308,2.011889819878332,1.2316917148211455,1.2146659939970172,2.4475669047775863,6.2,3,0.22411067193675877,3.4868421052631584,1.5942028985507246
17,26.393473276006585,0.5292459478505991,0.0882802556709994,0.64875385857949,0.1282051282051282,0.002564102564102555,0.10512820512820514,0.025707898658718323,0.37499999999999994,3.28125,0.9388384327098174,1.8051117614341203,1.0467685133783395,1.226657668684859,2.6483440870991624,6,3,0.13572267920093983,2.7412280701754392,1.6666666666666665
18,26.305036638758743,0.4228163992869875,0.6154861590394267,0.10035628527019891,0.12658227848101267,0.009542356377799377,0.09814995131450827,0.02386363636363635,0.18749999999999978,3.28125,0.9804804827199655,2.1270302980222806,0.975222051667366,1.276045534006416,2.4625744006900128,6,3,0.17136701919310582,2.7076393515434165,1.7391304347826086
19,25.658672332462203,0.5292459478505991,0.4043189669434666,0.15017493619451983,0.1282051282051282,0.002564102564102555,0.10512820512820514,0.02291825821237585,0.25,3.28125,0.9804379630797263,1.9345349071426845,1.115329794349473,1.316852906892131,2.18170377305024,6,2.8000000000000003,0.19367588932806348,2.668128654970761,1.5942028985507246
20,26.556110144599096,0.540463458110517,0.33730617902882676,0.6168540672211914,0.13333333333333333,0.007179487179487132,0.10051282051282046,0.021956856702619404,0.37500000000000006,3.28125,0.9904646461547876,1.9060114494201756,1.1163228912451348,1.263244639871553,2.3829200198753604,6,2.8000000000000003,0.17032309533306778,2.9912280701754392,1.5217391304347827
