Gen,total_rating,scale_correctness_rating,zipfs_law_distance_pitches,zipfs_law_distance_intervals,neighbour_pitch_rating,melody_direction_rating,direction_stability_rating,unique_pitches_rating,bindings_rating,measures_rating,types_distance_rating,semitones_distance_rating,pitches_distance_rating,duration_distance_rating,offsets_distance_rating,absolute_rhythm_rating,absolute_types_rating,types_distr_rating,interval_distr_distance_rating,element_count_rating
23,26.01720356,0.528138528,0.247889998,0.219745502,0.136986301,0.005900948,0.101791359,0.025707899,0.3125,3.28125,0.979600157,1.890855057,1.275010726,1.107655173,2.32095299,6,2.6,0.608695652,3.070175439,1.304347826
24,25.64613328,0.436222692,0.029064594,0.049110802,0.12987013,0.021378621,0.086313686,0.025707899,0.5625,3.28125,0.96461203,1.83260457,1.250568329,1.307058905,2.29352043,5.8,2.6,0.383990248,3.143084985,1.449275362
25,25.64613328,0.436222692,0.029064594,0.049110802,0.12987013,0.021378621,0.086313686,0.025707899,0.5625,3.28125,0.96461203,1.83260457,1.250568329,1.307058905,2.29352043,5.8,2.6,0.383990248,3.143084985,1.449275362
26,26.4266242,0.516934046,0.04977671,0.502214332,0.133333333,0.020512821,0.087179487,0.024793388,0.3125,3.28125,0.932711081,1.947085558,1.138210785,1.119662057,2.207114297,6,2.8,0.57658556,3.32748538,1.449275362
27,26.71302394,0.491420226,0.285884584,0.876640031,0.136986301,0.005900948,0.101791359,0.023863636,0.3125,3.28125,0.940275565,1.963841192,1.135356238,1.17232936,2.332340543,6,2.8,0.510564811,3.037731315,1.304347826
28,25.97690606,0.459478506,0.070934998,0.703038803,0,0.01437247,0.093319838,0.028030303,0.375,3.28125,1.167374425,2.039142563,1.425582157,1.156855941,2.190227405,6,2.8,0.342734038,2.307825485,1.52173913
29,24.20531718,0.41913107,0.397993926,0.083307597,0.069444444,0.015598291,0.123290598,0.027667984,0.5,2.34375,1.159044151,2.041656258,1.341400208,1.172182762,2.035329725,6,2.6,0.205797101,2.365375244,1.304347826
30,24.9091696,0.453806356,0.388480597,0.415740613,0.066666667,0.032820513,0.140512821,0.020979021,0.375,3.28125,0.976719151,1.924344429,1.344871835,1.148344968,2.307317066,5.8,2.2,0.428450823,2.444444444,1.15942029
31,24.90846322,0.456709957,0.205417433,0.235826645,0.064102564,0.023076923,0.130769231,0.021956857,0.375,3.28125,1.00208571,1.986107964,1.43076567,1.096387966,2.134729187,6,2.4,0.493847416,2.266081871,1.304347826
32,25.20050464,0.385281385,0.281874489,0.164919796,0.068493151,0.005900948,0.101791359,0.026194145,0.5625,3.28125,0.963203263,1.905075816,1.184843785,1.152143153,2.158161307,6,2.6,0.253149126,2.728911319,1.376811594
