Gen,total_rating,scale_correctness_rating,zipfs_law_distance_pitches,zipfs_law_distance_intervals,neighbour_pitch_rating,melody_direction_rating,direction_stability_rating,unique_pitches_rating,bindings_rating,measures_rating,types_distance_rating,semitones_distance_rating,pitches_distance_rating,duration_distance_rating,offsets_distance_rating,absolute_rhythm_rating,absolute_types_rating,types_distr_rating,interval_distr_distance_rating,element_count_rating
11,26.6117832,0.545075758,0.00049997,0.691774449,0.253164557,0.042428504,0.042428504,0.056018519,2.916666667,5.46875,1.249810911,1.870803074,1.624248373,1.928160344,2.212861295,2.8,0.9,0.081553398,3.269644137,0.657894737
12,28.14959446,0.450909091,0.842899013,0.756236137,0.238095238,0.074074074,0.074074074,0.051583035,3.125,6.25,1.316365856,1.844481475,1.743211728,1.932089295,2.375386524,2.8,0.7,0.276679842,2.947631883,0.350877193
13,26.19095575,0.554066986,1.468500015,1.06096855,0.10989011,0.068579569,0.068579569,0.05244709,2.1875,3.125,1.066004677,2.007043227,1.148231877,1.639196048,1.571667241,2.8,0.8,1.786547752,4.018838305,0.657894737
14,25.88390004,0.62020202,0.742950657,0.972780501,0.126582278,0.080403188,0.080403188,0.045567699,2.8125,3.90625,1.277255464,2.306338413,1.597250935,1.75161186,2.089203646,2.8,0.8,0.219585534,3.216418165,0.438596491
15,26.16007093,0.627079304,1.373721141,0.465565141,0.136986301,0.067224759,0.067224759,0.040257649,3.229166667,3.90625,1.034862247,2.339168101,1.320274497,1.722817542,1.783570351,2.8,0.9,0.391474851,3.29653288,0.657894737
16,24.32805336,0.554066986,0.954216517,0.056300233,0.136986301,0.039827499,0.039827499,0.049874451,2.708333333,3.90625,0.988348756,2.08092395,1.444826577,1.753442171,1.591969743,2.7,1,0.073043478,3.591921131,0.657894737
17,24.78731656,0.6,0.116199033,0.999640498,0.131578947,0.060916179,0.060916179,0.037370978,2.604166667,4.6875,0.852401026,1.91201665,1.451718884,1.933612365,1.64198439,2.8,0.9,0.376923077,3.094055894,0.526315789
18,24.19764794,0.6,0.402761807,0.520523399,0.12987013,0.054593555,0.054593555,0.041469338,2.5,4.6875,0.889015898,1.978354244,1.389536675,1.805186655,1.549674664,2.7,0.9,0.376923077,3.091329156,0.526315789
19,24.13340347,0.618744142,0.012062918,0.632824802,0.202702703,0.047047047,0.047047047,0.039351852,2.8125,3.90625,0.998478966,2.05483099,1.435421823,1.90396052,1.583559059,2.8,0.9,0.274208527,3.294237634,0.570175439
20,24.6238088,0.5819982,0.443931297,0.026816092,0.119047619,0.05026455,0.05026455,0.047550777,2.5,5.46875,1.136825417,1.85907334,1.486180501,1.839975405,2.010902384,2.8,0.7,0.522052487,2.760877936,0.219298246
21,23.84516131,0.598125586,0.020099388,0.875695896,0.197368421,0.074074074,0.074074074,0.031018519,2.5,3.90625,0.854063437,1.747040831,1.370962147,1.81746995,1.896611453,2.8,0.9,0.293812709,3.362179032,0.526315789
22,22.81499582,0.57979798,0.347998804,0.31487331,0.126582278,0.06774496,0.06774496,0.040469738,2.395833333,3.90625,0.939575847,1.86077788,1.263506004,1.79654592,1.824605032,2.7,0.8,0.420450886,3.011361698,0.350877193
23,23.41501743,0.545075758,0.687265689,0.161379793,0.064935065,0.080567581,0.080567581,0.031018519,2.8125,3.90625,0.967950606,1.794287287,1.145605919,1.75961099,1.715069921,2.6,0.9,0.569647252,3.154688977,0.438596491
24,22.90078763,0.568460111,0.348953673,0.03375423,0.128205128,0.061253561,0.061253561,0.035185185,2.395833333,3.90625,0.81085941,1.818800264,1.37618732,1.764633383,1.964668456,2.7,0.9,0.446376812,3.09765706,0.48245614
25,22.24959715,0.568460111,0.172378659,0.159979548,0.126582278,0.06774496,0.06774496,0.041469338,2.291666667,3.90625,0.894327857,1.878859263,1.252880465,1.745680667,1.80059232,2.7,0.8,0.428931329,2.951311884,0.394736842
26,23.58533936,0.57979798,0.3231868,0.905391959,0.128205128,0.048433048,0.048433048,0.045567699,2.5,3.90625,0.935704975,1.919234841,1.332319842,1.812309772,1.928835274,2.8,0.8,0.331911403,2.801161103,0.438596491
27,23.64422843,0.577507029,0.574926022,0.924302135,0,0.074074074,0.074074074,0.032339657,2.5,3.90625,0.878904971,1.90924825,1.384775507,1.850203799,1.86559905,2.8,1,0.186120401,2.579587674,0.526315789
28,22.76867149,0.598125586,0.16587287,0.344070639,0,0.080567581,0.080567581,0.037370978,2.604166667,3.90625,0.938138409,1.921229236,1.320329224,1.833299629,1.90318977,2.8,0.9,0.313043478,2.539993699,0.48245614
29,22.63253237,0.568460111,0.206860669,0.486203586,0.064935065,0.054593555,0.054593555,0.043518519,2.1875,3.90625,0.919845836,1.884692109,1.451290993,1.847567194,1.904822562,2.7,0.9,0.179710145,2.789232331,0.48245614
30,23.10006362,0.577507029,0.548575474,0.587292523,0.064102564,0.074074074,0.074074074,0.035185185,2.395833333,3.90625,0.854063437,1.86980887,1.317771314,1.753863545,1.896611453,2.8,0.9,0.293812709,2.624922248,0.526315789
31,21.88912967,0.536269916,0.14448035,0.171684028,0.066666667,0.040740741,0.040740741,0.034220998,2.1875,3.90625,0.886129574,2.071694571,1.351558632,1.707512415,1.685084628,2.8,0.9,0.138286197,2.650134771,0.570175439
32,21.68288635,0.55959596,1.060608289,0.066753499,0,0.080403188,0.080403188,0.032339657,1.875,3.90625,0.924965986,1.856095819,1.272627247,1.55147793,1.830190151,2.7,0.9,0.199835931,2.347743014,0.438596491
33,23.37765344,0.570909091,0.516054562,0.471177316,0,0.022792023,0.022792023,0.028754739,1.979166667,5.46875,0.958712375,2.019759252,1.205391677,1.734974648,1.54796953,2.7,0.9,0.167249086,2.668463612,0.394736842
34,22.55165018,0.57979798,0.756712873,0.448254455,0,0.024074074,0.024074074,0.036404697,2.291666667,3.90625,1.121195418,2.066079917,1.166738596,1.719951927,1.559299348,2.6,0.8,0.77430474,2.45754717,0.219298246
35,21.83868329,0.536269916,0.219813034,0.690169143,0,0.080740741,0.080740741,0.037162586,2.083333333,3.90625,0.858432724,2.046502692,1.248342593,1.563169753,1.542985198,2.8,0.9,0.428428094,2.290026954,0.526315789
